YEAR,MO,DY,Distribuidora,T2M,T2MDEW,T2MWET,TS,T2M_RANGE,T2M_MAX,T2M_MIN,QV2M,RH2M,PRECTOTCORR,Distribuidora
2025,3,31,Bucaramanga,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,Bucaramanga
2025,3,1,Barranquilla,27.92,23.51,25.72,28.52,4.54,30.71,26.17,18.02,77.1,1.54,Barranquilla
2025,3,2,Barranquilla,28.03,23.43,25.73,28.67,5.16,31.33,26.17,17.93,76.42,1.59,Barranquilla
2025,3,3,Barranquilla,27.66,22.88,25.27,28.38,4.45,30.46,26.01,17.31,75.25,0.7,Barranquilla
2025,3,4,Barranquilla,27.8,23.02,25.41,28.55,4.64,30.66,26.02,17.48,75.43,1.67,Barranquilla
2025,3,5,Barranquilla,27.87,23.25,25.56,28.66,5.11,30.92,25.81,17.73,76.24,0.91,Barranquilla
2025,3,6,Barranquilla,27.7,23.27,25.49,28.55,4.57,30.48,25.91,17.73,76.87,1.95,Barranquilla
2025,3,7,Barranquilla,27.61,23.09,25.35,28.2,3.74,29.84,26.1,17.51,76.42,2.06,Barranquilla
2025,3,8,Barranquilla,28.31,23.19,25.75,29.02,6.05,31.95,25.9,17.64,74.37,0.07,Barranquilla
2025,3,9,Barranquilla,28.62,23.32,25.97,29.17,5.68,32.2,26.52,17.79,73.48,0.15,Barranquilla
2025,3,10,Barranquilla,28.5,23.21,25.86,29.12,5.91,32.19,26.28,17.66,73.49,0.78,Barranquilla
2025,3,11,Barranquilla,28.18,23.22,25.7,29.04,5.46,31.68,26.22,17.67,74.73,0.38,Barranquilla
2025,3,12,Barranquilla,28.14,22.97,25.56,28.96,5.44,31.62,26.18,17.39,73.79,0.21,Barranquilla
2025,3,13,Barranquilla,28.32,23.27,25.8,29.07,5.61,31.98,26.37,17.72,74.41,0.15,Barranquilla
2025,3,14,Barranquilla,28.16,23.12,25.64,28.85,4.78,31.2,26.42,17.57,74.3,0.55,Barranquilla
2025,3,15,Barranquilla,28.08,23.28,25.68,28.72,5.38,31.51,26.13,17.75,75.41,2.27,Barranquilla
